S.No,Name,Latitude,Longitude
144,PHC Nandpur kalour,30.7054,76.5040
145,PHC katanikalan,30.8491,76.0811
146,PHC Algon Kothi,31.2824,74.6502
147,PHC Othian,31.7734,74.7191
148,PHC Mallan Wala,31.0507,74.8180
149,PHC BUTTER,31.6362,75.2791
150,PHC Janouri,31.7130,75.8934
151,PHC Jadla,31.0821,76.2161
152,PHC Fatehgarh Panjtoor,31.0533,75.1127
153,PHC Jasraour,31.8423,74.6536
154,PHC Hari Ke Kalan,30.4779,74.7046
155,PHC Kotbhai,30.2636,74.7039
156,PHC Jodhpur Pakkar,30.0552,75.1513
157,UPHC Sunam,30.1346,75.8127
158,PHC Sehjowal,31.3438,76.3212
159,PHC Abiana,31.0910,76.5500
160,PHC Sauja,30.3333,76.2335
161,RH Shri Hargobindpur,31.6821,75.4726
162,PHC GAGOMAHAL,31.9095,74.8076
163,PHC Fatehabad,31.3823,75.0998
164,PHC Dhilwan,30.3377,75.3802
165,PHC Sehna,30.4313,75.3753
166,PHC Talwandi Kalan,30.8503,75.5905
167,PHC Hambran,30.9367,75.6704
168,PHC Manuke,30.6348,75.1964
169,PHC Datarpur,31.9467,75.8064
170,PHC Kot Sukhia,30.6791,74.8800
171,PHC Jaito Sarja,31.7449,75.1994
172,PHC CHANDON,30.7666,76.6330
173,PHC KIAMPUR,31.8103,74.8275
174,PHC Ballamgarh,30.4677,74.4324
175,Jamsher Khas,31.2342,75.6217
176,PHC Haryao,29.9625,75.7029
177,PHC Balbera,30.1584,76.3593
178,PHC Kandu Khera,29.9493,74.5030
179,Rurka Kalan,31.1237,75.7047
180,PHC Chak Janisar,30.4973,74.3400
181,PHC Karandi,29.6083,75.2822
182,PHC Bhallan,31.2696,76.3844
183,PHC Jandiala Guru,31.5640,75.0207
184,PHC MAJAT,30.6750,76.5891
185,PHC Gurdaspur Bhaian,32.1952,75.5163
186,PHC Dhainthal,30.2246,76.2427
187,PHC Ladhu Ka Mandi,30.5062,74.0953
188,PHC Sangatpur Sodian,30.5734,76.3607
189,PHC Dhapli,30.3716,75.2714
190,PHC Kathlaur,32.2395,75.4401
191,Bhai Dharam Singh Memorial Sattelite Hospital,31.6613,74.8669
192,CD Basti Bawa Khel,31.3405,75.5474
193,PHC Pharala,31.2276,75.8902
194,PHC Daroli Kalan,31.4050,75.7718
195,PHC Bhoa,32.2542,75.5233
196,PHC Mehatpur,31.0458,75.4760
197,PHC Bhagrana,30.6042,76.5759
198,PHC Ramnagar,30.2960,74.4976
199,PHC RAYYA,31.5395,75.2305
200,PHC Panj Kosi,30.1683,74.0663
201,PHC RAMDASS,31.9627,74.9064
202,PHC Badiala,30.2384,75.3220
203,UPHC BASTI TANKAN WALI,30.9377,74.6232
204,UPHC Chheharta,31.6284,74.8036
205,PHC Dehargawar,31.9799,75.1069
206,PHC Gharachon,30.2176,75.9666
207,PHC Rampur,30.8187,76.0504
208,CD Kazi Mandi,31.3341,75.5888
209,PHC Thandewala,30.4665,74.5862
210,PHC Kotshmir,30.1084,75.0129
211,UPHC Jodh Nagar,31.6125,74.8901
212,Urban Primary Health Centre,0.0000,0.0000
213,PHC Nanowal Jinder,31.8433,75.5376
214,PHC Ajnouda,30.4274,76.2582
215,PHC Kalia,29.8182,75.7539
216,PHC Joga,30.1596,75.4214
